,precision,recall,f1-score,support
Tidak Churn,0.9516685845799769,0.9729411764705882,0.9621873182082606,1700.0
Churn,0.8402777777777778,0.7423312883435583,0.7882736156351792,326.0
accuracy,0.9358341559723593,0.9358341559723593,0.9358341559723593,0.9358341559723593
macro avg,0.8959731811788774,0.8576362324070732,0.8752304669217199,2026.0
weighted avg,0.933744891086632,0.9358341559723593,0.9342031785049908,2026.0
