,precision,recall,f1-score,support
Tidak Churn,0.9396503102086858,0.98,0.9594010941549093,1700.0
Churn,0.8656126482213439,0.6717791411042945,0.7564766839378239,326.0
accuracy,0.9304047384007897,0.9304047384007897,0.9304047384007897,0.9304047384007897
macro avg,0.9026314792150149,0.8258895705521472,0.8579388890463666,2026.0
weighted avg,0.9277370437684719,0.9304047384007897,0.92674889389293,2026.0
