,precision,recall,f1-score,support
Tidak Churn,0.913573407202216,0.97,0.9409415121255349,1700.0
Churn,0.7692307692307693,0.5214723926380368,0.6215722120658135,326.0
accuracy,0.8978282329713722,0.8978282329713722,0.8978282329713722,0.8978282329713722
macro avg,0.8414020882164926,0.7457361963190183,0.7812568620956741,2026.0
weighted avg,0.8903474940834146,0.8978282329713722,0.8895523749984523,2026.0
